,id,name,lat,lon
42,41043,"Station 41043 - NE PUERTO RICO - 170 NM NNE of San Juan, PR",21.03,-64.79
0,21413,"Station 21413 - SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP",30.517,152.127
1,21414,"Station 21414 (LLNR 984.8) - AMCHITKA - 170 NM South of Amchitka, AK",48.963,178.237
2,21415,"Station 21415 (LLNR 984.85) - ATTU - 175 NM South of Attu, AK",50.153,171.897
3,21416,"Station 21416 - KAMCHATKA PENINSULA - 240NM SE of Kamchatka Peninsula, RU",48.11,163.435
4,21417,Station 21417 - 290NM SE of the Kuril Islands,43.192,157.142
5,21418,"Station 21418 - NORTHEAST TOKYO - 450 NM NE of Tokyo, JP",38.76,148.65
6,21419,Station 21419 - KURIL ISLANDS - 209NM SE of Kuril Is.,44.401,155.653
7,21420,Station 21420 - SOUTHEAST MIYAZAKI - 260NM Southeast of Miyazaki,28.891,135.022
8,32301,Station 32301,-9.9,-105.2
9,32302,Station 32302,-18,-85.1
10,32411,"Station 32411 - WEST PANAMA - 710 NM WSW of Panama City, Panama",4.958,-90.868
11,32412,"Station 32412 - SOUTHWEST LIMA - 645 NM SW of Lima, Peru",-17.984,-86.374
12,32413,"Station 32413 - NORTHWEST LIMA - 1000 NM WNW of Lima, Peru",-7.428,-93.48
13,32745,Station 32745 - TAO Buoy Adrift,0,0
14,32746,Station 32746 - TAO Buoy Adrift,-5,-110
15,32D12,"Station 32D12 - SOUTHWEST LIMA 645NM SW of Lima, Peru",-17.98,-86.33
16,32D13,Station 32D13 - ADRIFT BUOY FROM 32413,-7.43,-93.48
17,41001,Station 41001 (LLNR 635) - EAST HATTERAS - 150 NM East of Cape Hatteras,34.751,-72.196
18,41002,Station 41002 (LLNR 830) - SOUTH HATTERAS - 225 NM South of Cape Hatteras,31.76,-74.945
19,41003,Station 41003,30.4,-80.1
20,41004,"Station 41004 (LLNR 825) - EDISTO - 41 NM Southeast of Charleston, SC",32.502,-79.099
21,41005,Station 41005,31.7,-79.7
22,41006,Station 41006,29.3,-77.4
23,41007,Station 41007,34.2,-76.5
24,41008,"Station 41008 (LLNR 833) - GRAYS REEF - 40 NM Southeast of Savannah, GA",31.4,-80.866
25,41009,"Station 41009 (LLNR 840) - CANAVERAL 20 NM East of Cape Canaveral, FL",28.508,-80.185
26,41010,Station 41010 (LLNR 845) - CANAVERAL EAST - 120NM East of Cape Canaveral,28.878,-78.485
27,41011,Station 41011,28.2,-80.1
28,41012,"Station 41012 (LLNR 845.3) - St. Augustine, FL 40NM ENE of St Augustine, FL",30.042,-80.534
29,41013,"Station 41013 (LLNR 815) - Frying Pan Shoals, NC",33.441,-77.764
30,41015,Station 41015,35.4,-75.3
31,41016,Station 41016,24.6,-76.5
32,41017,Station 41017,35.4,-75.1
33,41018,Station 41018,15,-75
34,41021,Station 41021 - Olympic Northeast,31.92,-80.85
35,41022,Station 41022 - Olympic Southwest,31.89,-80.86
36,41023,Station 41023 - Olympic Southwest,31.92,-80.93
37,41025,"Station 41025 (LLNR 637) - Diamond Shoals, NC",35.01,-75.454
38,41035,"Station 41035 (LLNR 735) - Onslow Bay Inner, NC",34.476,-77.28
39,41036,"Station 41036 - Onslow Bay Outer, NC",34.207,-76.949
40,41040,Station 41040 - NORTH EQUATORIAL ONE- 470 NM East of Martinique,14.542,-53.341
41,41041,Station 41041 - NORTH EQUATORIAL TWO - 890 NM East of Martinique,14.453,-46.327
43,41044,Station 41044 - NE ST MARTIN - 330 NM NE St Martin Is,21.582,-58.63
44,41046,"Station 41046 - EAST BAHAMAS - 335 NM East of San Salvador Is, Bahamas",23.822,-68.384
45,41047,"Station 41047 - NE BAHAMAS - 350 NM ENE of Nassau, Bahamas",27.463,-71.466
46,41048,Station 41048 - WEST BERMUDA - 240 NM West of Bermuda,31.831,-69.573
47,41049,Station 41049 - SOUTH BERMUDA - 300 NM SSE of Bermuda,27.49,-62.938
48,41420,"Station 41420 - NORTH SANTO DOMINGO - 328NM NNE of Santo Domingo, DO",26.2672,-77.0516
49,41421,"Station 41421 - NORTH ST THOMAS - 300 NM North of St Thomas, Virgin Is",23.373,-63.902
50,41424,"Station 41424 - EAST CHARLESTON - 370 NM East of Charleston, SC",33,-72.66
51,41425,"Station 41425 - SOUTHWEST BERMUDA - 200 NM SSW of Hamilton, Bermuda",23.2978,-72.4959
52,41A46,"Station 41A46 - EAST BAHAMAS - 335 NM East of San Salvador Is, Bahamas backup",23.838,-68.333
53,41B41,Station 41B41 - NORTH EQUATORIAL TWO - 890 NM East of Martinique,14.329,-46.082
54,41D20,Station 41D20 - Adrift from 41420,23.508,-67.287
55,41S43,"Station 41S43 - 170 NM NNE of San Juan, PR (SCP12)",21.132,-64.856
56,41S46,"Station 41S46 - 335 NM East of San Salvador Is, Bahamas (SCP10)",23.866,-68.481
57,41X01,"Station 41X01 - Adrift from 41001, 150nm E of Cape Hatteras",34.502,-72.522
58,42001,"Station 42001 (LLNR 1465) - MID GULF - 180 nm South of Southwest Pass, LA",25.942,-89.657
59,42002,"Station 42002 (LLNR 1470) - WEST GULF - 207 NM East of Brownsville, TX",26.055,-93.646
60,42003,"Station 42003 (LLNR 1460) - East GULF - 208 NM West of Naples, FL",25.925,-85.615
61,42004,Station 42004,27.5,-85.5
62,42005,Station 42005,30,-85.9
63,42006,Station 42006,26.5,-96
64,42007,"Station 42007 (LLNR 345) - BILOXI - 22 NM SSE of Biloxi, MS",30.09,-88.769
65,42008,Station 42008,28.7,-95.3
66,42009,Station 42009,29.3,-87.5
67,42010,Station 42010,29.7,-93.4
68,42011,Station 42011,29.7,-93.5
69,42012,"Station 42012 (LLNR 138) - ORANGE BEACH - 44 NM SE of Mobile, AL",30.06,-87.548
70,42015,Station 42015,30.1,-88.2
71,42016,Station 42016,30.2,-88.1
72,42017,Station 42017,27.9,-90.9
73,42018,Station 42018,30,-88.2
74,42019,"Station 42019 (LLNR 1285) - FREEPORT, TX - 60 NM South of Freeport, TX",27.91,-95.345
75,42020,"Station 42020 (LLNR 1405) - CORPUS CHRISTI, TX - 60NM SSE of Corpus Christi, TX",26.968,-96.693
76,42025,Station 42025,24.9,-80.4
77,42035,"Station 42035 (LLNR 1200) - GALVESTON,TX - 22 NM East of Galveston, TX",29.232,-94.413
78,42036,"Station 42036 (LLNR 855) - WEST TAMPA - 112 NM WNW of Tampa, FL",28.501,-84.508
79,42037,Station 42037,24.5,-81.4
80,42038,Station 42038 (LLNR 940) - North Mid Gulf of Mexico,27.421,-92.555
81,42039,"Station 42039 (LLNR 115) - PENSACOLA - 115NM SSE of Pensacola, FL",28.787,-86.007
